address,flag
0xdee4fbf0b62febe20000826eaeb939e2cc7876b4,1
0xb1a549920b38b2f7c80443b49b5a75db3a4cd5f5,1
0x77d40c87d423efb7ec576e80998a48377adf86df,1
0x864f2c20f55d7b6e80e65332c372c855a67be451,1
0x7e75c3fbe3aa9007d9e93eb948e02329b8b35dfe,1
0xbbd107d7717f9d8556aa0abd444bc8ae6e288956,1
0xae9a1bbd8a53e6bd845d1b493cd174e6b0531eb8,1
0xdc0046b52e2e38aee2271b6171ebb65ccd337518,1
0x703fbd74399f71103604e3c7ea9f54cbb43f718a,1
0xb3e43abf014cb2d8cf8dc3d8c2e62157e6093343,1
0x39c00e3584a2176f55bb31bdc3450889927f5016,1
0xa70c50a58473b12e8da58f1471d48c1ad8b3415a,1
0x5ad3b55625553cef54d7561cd256658537d54aad,1
0x0f46540678c7e6d2ef983b382cc07fa815ab148c,1
0x874b3e815b02d3dcd5008fdee96127c16292ba1f,1
0x02317bb3f16ce21e9239c217b21bd18aa24ab0d3,1
0xc7bf5da444c923aaa80d77d288e86f3246dd4170,1
0x3b0459c53fd6fc216fea8817512990c886310386,1
0x18190831552ec91237d68ff94fe9124ccbac4163,1
0xeee2e0166e342e0b56fe9d5b76ce2c8eadd935b4,1
0xac446dd360716acef4e930612dcb1f652a98d750,1
0x6d3b98452c8f2dffa0487ce6c66ca3cc3ab01308,1
0x9d5a0ec9dcab69075e4ff40b46813f6d952bbd65,1
0xb22981ba3fe1de2325935c91a3b717168fb86714,1
0x706e714e63eabaa8602c209ecc92943655e0c7b8,1
0x4c8692cc08b14fa8b74b6f313394b8997aad721d,1
0x81e80b838e04644a93e4f3c701038889d3a1b95e,1
0x6543c99d0e073c140fd08a741c6cfdcd1449da94,1
0x9959dda625ba12809849f9b0f44e660c0f136733,1
0x1e975f53956d644868f3ea25690b1bbeda658565,1
0xefa21088f3830cd7d9f526ea268f7aaba34f785f,1
0x2915f137dab849f0b27aaab4d0dbd67aaee3c5f0,1
0x182312c44a219fd492f3ae177d11120a3ccd2ef3,1
0xa8221b722b624651d48ebc881c4b6e9f17f4d03e,1
0x6636a1ccbdf54485067304c1a590de016dead9f0,1
0xb08f95dbc639621dbaf48a472ae8fce0f6f56a6e,1
0x5b93ff82faaf241c15997ea3975419dddd8362c5,1
0x204323a83506ca93ef23731894b450071541e9df,1
0x37341cbb14c5f128a70b149726ad8b2ce6f4c793,1
