id,projectId,applicationId,voter,grantAddress,amount,amountUSD,coefficient,rawScore,balance_tec,tec_tokens_flag,balance_tea,tea_flag
0x02c61a92,0xe6424ab2,22,0x434f5325,0x8110d1D0,1e+16,19.04844491,1.5,23.56,0.0,0.0,2.0,1.0
0x2e01b9f3,0xa9bdf738,29,0x434f5325,0x5041A1C1,1e+16,19.04844491,1.5,23.56,0.0,0.0,2.0,1.0
0x4bc28998,0xe8249a10,14,0x434f5325,0x9b55D80A,1e+16,19.04844491,1.5,23.56,0.0,0.0,2.0,1.0
0x6148f179,0x8d6f0c7b,3,0x434f5325,0x808DB7C1,1e+16,19.04844491,1.5,23.56,0.0,0.0,2.0,1.0
0x5a7fabe5,0xe6424ab2,22,0xaedf9a1f,0x8110d1D0,5500000000000000.0,10.4533511,1.0,15.22,0.0,0.0,0.0,0.0
0xb3495eb0,0xe6424ab2,22,0xb9b37535,0x8110d1D0,5500000000000000.0,10.51313611,1.0,16.89,0.0,0.0,0.0,0.0
0x8e613999,0x64a30a4b,19,0x3b067af8,0xA26d6AEB,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0x1253825e,0xe6424ab2,22,0x3b067af8,0x8110d1D0,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0x2e91e2d4,0x72b0d6a6,17,0x3b067af8,0x7e1F8358,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0x5987d7ca,0x97589cd1,7,0x3b067af8,0x0035cC37,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0x4ce3c90c,0xa9bdf738,29,0x3b067af8,0x5041A1C1,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0x9e87891b,0x8d6f0c7b,3,0x3b067af8,0x808DB7C1,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0x255f4209,0x4cd41869,25,0x3b067af8,0xBEC643BD,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0x769958d0,0x10b3f00e,28,0x3b067af8,0x69e001B7,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0x72b5433c,0x5351510d,2,0x3b067af8,0x9bcF35BD,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0xe5227fd6,0xc401c980,6,0x3b067af8,0x9390fA86,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0xd04d5b92,0xcf3165f4,10,0x3b067af8,0x7f3eb18E,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0x084d4f2b,0xe8249a10,14,0x3b067af8,0x9b55D80A,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0xd01049a0,0x23387567,9,0x3b067af8,0xbbD107D7,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0x212d6890,0xf1f4942d,24,0x3b067af8,0x4f8c531d,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0x3d2eed56,0xec026845,16,0x3b067af8,0x45b79C6b,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0x3e42558e,0xdd9b885d,13,0x3b067af8,0x75D923fB,3000000000000000.0,5.68897744,1.5,43.88,102.16338606243008,1.0,-1.0,1.0
0xea0b4c6f,0x4cd41869,25,0xcca02de5,0xBEC643BD,1e+16,19.05872438,1.0,25.34,0.0,0.0,0.0,0.0
0x0280aec9,0x97589cd1,7,0xc46c67bb,0x0035cC37,4000000000000000.0,7.4458385,1.5,50.98,15565.761361488372,1.0,0.0,0.0
0x7b71534f,0xe6424ab2,22,0xc46c67bb,0x8110d1D0,4000000000000000.0,7.4458385,1.5,50.98,15565.761361488372,1.0,0.0,0.0
0x870cb76c,0x8d6f0c7b,3,0xc46c67bb,0x808DB7C1,4000000000000000.0,7.4458385,1.5,50.98,15565.761361488372,1.0,0.0,0.0
